指令集;指令;参数 1;参数 2;参数 3;备注信息
直线点位运动;设置点位速度;200;200;200;
输出口操作;输出口设置;1;0;;Fermeture pince
输出口操作;输出口设置;2;0;;Ouverture pince
输出口操作;输出口设置;3;0;;Fin programme init
回零运动;设置回零速度;30;30;30;
系统操作;延时等待;20;;;
流程控制;单次检测跳转;1;0;11;vers plaque 1
流程控制;单次检测跳转;2;0;86;vers plaque 2
流程控制;单次检测跳转;3;0;161;vers plaque 3
流程控制;单次检测跳转;4;0;234;vers plaque 4
流程控制;程序行间跳转;5;;;
系统操作;延时等待;10;;;
流程控制;单次检测跳转;4;0;310;vers plaque 5
系统操作;延时等待;10;;;
直线点位运动;设置点位速度;200;200;200;
直线点位运动;三轴绝对运动;1;220;200;couvercleHaut
直线点位运动;三轴绝对运动;1;220;100;couvercle
输出口操作;输出口设置;1;1;;Fermeture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;1;0;;Fermeture pince
流程控制;单次检测跳转;1;0;22;lecture input
流程控制;程序行间跳转;20;;;
直线点位运动;三轴绝对运动;1;220;200;couvercleHaut
直线点位运动;三轴绝对运动;1;45;200;depotHaut
直线点位运动;三轴绝对运动;1;45;49;depot
输出口操作;输出口设置;2;1;;Ouverture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;2;0;;Ouverture pince
流程控制;单次检测跳转;1;0;30;lecture input
流程控制;程序行间跳转;28;;;
直线点位运动;三轴绝对运动;1;45;200;depotHaut
直线点位运动;三轴绝对运动;1;220;200;plaqueHaut
直线点位运动;三轴绝对运动;1;220;75;plaque
输出口操作;输出口设置;1;1;;Fermeture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;1;0;;Fermeture pince
流程控制;单次检测跳转;1;0;38;lecture input
流程控制;程序行间跳转;36;;;
直线点位运动;设置点位速度;75;75;75;
直线点位运动;三轴绝对运动;1;220;200;plaqueHaut
直线点位运动;三轴绝对运动;655;105;200;luminometreHaut
直线点位运动;三轴绝对运动;655;105;47;luminometre
输出口操作;输出口设置;2;1;;Ouverture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;2;0;;Ouverture pince
流程控制;单次检测跳转;1;0;47;lecture input
流程控制;程序行间跳转;45;;;
直线点位运动;三轴绝对运动;655;105;200;luminometreHaut
系统操作;延时等待;1500;;;
直线点位运动;三轴绝对运动;655;105;47;luminometre
输出口操作;输出口设置;1;1;;Fermeture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;1;0;;Fermeture pince
流程控制;单次检测跳转;1;0;55;lecture input
流程控制;程序行间跳转;53;;;
直线点位运动;三轴绝对运动;655;105;200;luminometre
直线点位运动;三轴绝对运动;1;220;200;plaqueHaut
直线点位运动;三轴绝对运动;1;220;75;plaque
输出口操作;输出口设置;2;1;;Ouverture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;2;0;;Ouverture pince
流程控制;单次检测跳转;1;0;63;lecture input
流程控制;程序行间跳转;61;;;
直线点位运动;设置点位速度;200;200;200;
直线点位运动;三轴绝对运动;1;220;200;plaqueHaut
直线点位运动;三轴绝对运动;1;45;200;depotHaut
直线点位运动;三轴绝对运动;1;45;49;depot
输出口操作;输出口设置;1;1;;Fermeture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;1;0;;Fermeture pince
流程控制;单次检测跳转;1;0;72;lecture input
流程控制;程序行间跳转;70;;;
直线点位运动;三轴绝对运动;1;45;200;depot
直线点位运动;三轴绝对运动;1;220;200;couvercleHaut
直线点位运动;三轴绝对运动;1;220;100;couvercle
输出口操作;输出口设置;2;1;;Ouverture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;2;0;;Ouverture pince
流程控制;单次检测跳转;1;0;80;lecture input
流程控制;程序行间跳转;78;;;
直线点位运动;三轴绝对运动;1;220;200;couvercleHaut
直线点位运动;三轴绝对运动;1;10;190;
输出口操作;输出口设置;3;1;;Fin programme
系统操作;延时等待;50;;;
输出口操作;输出口设置;3;0;;Fin programme
流程控制;程序行间跳转;4;;;
系统操作;延时等待;10;;;
流程控制;单次检测跳转;4;0;383;vers plaque 6
系统操作;延时等待;10;;;
直线点位运动;设置点位速度;200;200;200;
直线点位运动;三轴绝对运动;100;220;200;couvercleHaut
直线点位运动;三轴绝对运动;100;220;100;couvercle
输出口操作;输出口设置;1;1;;Fermeture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;1;0;;Fermeture pince
流程控制;单次检测跳转;1;0;97;lecture input
流程控制;程序行间跳转;95;;;
直线点位运动;三轴绝对运动;100;220;200;couvercleHaut
直线点位运动;三轴绝对运动;100;45;200;depotHaut
直线点位运动;三轴绝对运动;100;45;49;depot
输出口操作;输出口设置;2;1;;Ouverture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;2;0;;Ouverture pince
流程控制;单次检测跳转;1;0;105;lecture input
流程控制;程序行间跳转;103;;;
直线点位运动;三轴绝对运动;100;45;200;depotHaut
直线点位运动;三轴绝对运动;100;220;200;plaqueHaut
直线点位运动;三轴绝对运动;100;220;75;plaque
输出口操作;输出口设置;1;1;;Fermeture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;1;0;;Fermeture pince
流程控制;单次检测跳转;1;0;113;lecture input
流程控制;程序行间跳转;111;;;
直线点位运动;设置点位速度;75;75;75;
直线点位运动;三轴绝对运动;100;220;200;plaqueHaut
直线点位运动;三轴绝对运动;655;105;200;luminometreHaut
直线点位运动;三轴绝对运动;655;105;47;luminometre
输出口操作;输出口设置;2;1;;Ouverture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;2;0;;Ouverture pince
流程控制;单次检测跳转;1;0;122;lecture input
流程控制;程序行间跳转;120;;;
直线点位运动;三轴绝对运动;655;105;200;luminometreHaut
系统操作;延时等待;1500;;;
直线点位运动;三轴绝对运动;655;105;47;luminometre
输出口操作;输出口设置;1;1;;Fermeture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;1;0;;Fermeture pince
流程控制;单次检测跳转;1;0;130;lecture input
流程控制;程序行间跳转;128;;;
直线点位运动;三轴绝对运动;655;105;200;luminometre
直线点位运动;三轴绝对运动;100;220;200;plaqueHaut
直线点位运动;三轴绝对运动;100;220;75;plaque
输出口操作;输出口设置;2;1;;Ouverture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;2;0;;Ouverture pince
流程控制;单次检测跳转;1;0;138;lecture input
流程控制;程序行间跳转;136;;;
直线点位运动;设置点位速度;200;200;200;
直线点位运动;三轴绝对运动;100;220;200;plaqueHaut
直线点位运动;三轴绝对运动;100;45;200;depotHaut
直线点位运动;三轴绝对运动;100;45;49;depot
输出口操作;输出口设置;1;1;;Fermeture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;1;0;;Fermeture pince
流程控制;单次检测跳转;1;0;147;lecture input
流程控制;程序行间跳转;145;;;
直线点位运动;三轴绝对运动;100;45;200;depot
直线点位运动;三轴绝对运动;100;220;200;couvercleHaut
直线点位运动;三轴绝对运动;100;220;100;couvercle
输出口操作;输出口设置;2;1;;Ouverture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;2;0;;Ouverture pince
流程控制;单次检测跳转;1;0;155;lecture input
流程控制;程序行间跳转;153;;;
直线点位运动;三轴绝对运动;100;220;200;couvercleHaut
直线点位运动;三轴绝对运动;1;10;190;
输出口操作;输出口设置;3;1;;Fin programme
系统操作;延时等待;50;;;
输出口操作;输出口设置;3;0;;Fin programme
流程控制;程序行间跳转;4;;;
系统操作;延时等待;10;;;
直线点位运动;设置点位速度;200;200;200;
直线点位运动;三轴绝对运动;200;220;200;couvercleHaut
直线点位运动;三轴绝对运动;200;220;100;couvercle
输出口操作;输出口设置;1;1;;Fermeture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;1;0;;Fermeture pince
流程控制;单次检测跳转;1;0;170;lecture input
流程控制;程序行间跳转;168;;;
直线点位运动;三轴绝对运动;200;220;200;couvercleHaut
直线点位运动;三轴绝对运动;200;45;200;depotHaut
直线点位运动;三轴绝对运动;200;45;49;depot
输出口操作;输出口设置;2;1;;Ouverture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;2;0;;Ouverture pince
流程控制;单次检测跳转;1;0;178;lecture input
流程控制;程序行间跳转;176;;;
直线点位运动;三轴绝对运动;200;45;200;depotHaut
直线点位运动;三轴绝对运动;200;220;200;plaqueHaut
直线点位运动;三轴绝对运动;200;220;75;plaque
输出口操作;输出口设置;1;1;;Fermeture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;1;0;;Fermeture pince
流程控制;单次检测跳转;1;0;186;lecture input
流程控制;程序行间跳转;184;;;
直线点位运动;设置点位速度;75;75;75;
直线点位运动;三轴绝对运动;200;220;200;plaqueHaut
直线点位运动;三轴绝对运动;655;105;200;luminometreHaut
直线点位运动;三轴绝对运动;655;105;47;luminometre
输出口操作;输出口设置;2;1;;Ouverture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;2;0;;Ouverture pince
流程控制;单次检测跳转;1;0;195;lecture input
流程控制;程序行间跳转;193;;;
直线点位运动;三轴绝对运动;655;105;200;luminometreHaut
系统操作;延时等待;1500;;;
直线点位运动;三轴绝对运动;655;105;47;luminometre
输出口操作;输出口设置;1;1;;Fermeture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;1;0;;Fermeture pince
流程控制;单次检测跳转;1;0;203;lecture input
流程控制;程序行间跳转;201;;;
直线点位运动;三轴绝对运动;655;105;200;luminometre
直线点位运动;三轴绝对运动;200;220;200;plaqueHaut
直线点位运动;三轴绝对运动;200;220;75;plaque
输出口操作;输出口设置;2;1;;Ouverture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;2;0;;Ouverture pince
流程控制;单次检测跳转;1;0;211;lecture input
流程控制;程序行间跳转;209;;;
直线点位运动;设置点位速度;200;200;200;
直线点位运动;三轴绝对运动;200;220;200;plaqueHaut
直线点位运动;三轴绝对运动;200;45;200;depotHaut
直线点位运动;三轴绝对运动;200;45;49;depot
输出口操作;输出口设置;1;1;;Fermeture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;1;0;;Fermeture pince
流程控制;单次检测跳转;1;0;220;lecture input
流程控制;程序行间跳转;218;;;
直线点位运动;三轴绝对运动;200;45;200;depot
直线点位运动;三轴绝对运动;200;220;200;couvercleHaut
直线点位运动;三轴绝对运动;200;220;100;couvercle
输出口操作;输出口设置;2;1;;Ouverture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;2;0;;Ouverture pince
流程控制;单次检测跳转;1;0;228;lecture input
流程控制;程序行间跳转;226;;;
直线点位运动;三轴绝对运动;200;220;200;couvercleHaut
直线点位运动;三轴绝对运动;1;10;190;
输出口操作;输出口设置;3;1;;Fin programme
系统操作;延时等待;50;;;
输出口操作;输出口设置;3;0;;Fin programme
流程控制;程序行间跳转;4;;;
系统操作;延时等待;10;;;
流程控制;单次检测跳转;1;0;310;vers plaque 5
流程控制;单次检测跳转;2;0;383;vers plaque 6
系统操作;延时等待;10;;;
直线点位运动;设置点位速度;200;200;200;
直线点位运动;三轴绝对运动;300;220;200;couvercleHaut
直线点位运动;三轴绝对运动;300;220;100;couvercle
输出口操作;输出口设置;1;1;;Fermeture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;1;0;;Fermeture pince
流程控制;单次检测跳转;1;0;246;lecture input
流程控制;程序行间跳转;244;;;
直线点位运动;三轴绝对运动;300;220;200;couvercleHaut
直线点位运动;三轴绝对运动;300;45;200;depotHaut
直线点位运动;三轴绝对运动;300;45;49;depot
输出口操作;输出口设置;2;1;;Ouverture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;2;0;;Ouverture pince
流程控制;单次检测跳转;1;0;254;lecture input
流程控制;程序行间跳转;252;;;
直线点位运动;三轴绝对运动;300;45;200;depotHaut
直线点位运动;三轴绝对运动;300;220;200;plaqueHaut
直线点位运动;三轴绝对运动;300;220;75;plaque
输出口操作;输出口设置;1;1;;Fermeture pince
系统操作;延时等待;50;;;
输出口操作;输出口设置;1;0;;Fermeture pince
流程控制;单次检测跳转;1;0;262;lecture input
流程控制;程序行间跳转;260;;;
直线点位运动;设置点位速度;75;75;75;
